,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,character,friend,husband
252,,,,11994,10,8.689146928637623,Category,,Feature,,,,,,,,,,,Subject,,,
253,,,,11989,15,11.818559090603355,Category,,Feature,,,,,,,,,,,Subject,,,
254,,,,11984,20,12.957327118341565,Category,,Feature,,,,,,,,,,,Subject,,,
255,,,,11974,30,13.450273587273637,Category,,Feature,,,,,,,,,,,Subject,,,
256,,,,11964,40,1.5160406569734108,Category,,Feature,,,,,,,,,,,Subject,,,
257,,,,11954,50,0.36642041197262315,Category,,Feature,,,,,,,,,,,Subject,,,
258,,,,11944,60,0.12165849719404016,Category,,Feature,,,,,,,,,,,Subject,,,
259,,,,11934,70,0.08377372684918306,Category,,Feature,,,,,,,,,,,Subject,,,
260,,,,12003,1,0.20592208567805353,Category,,,Feature,,,,,,,,,,Subject,,,
261,,,,11999,5,1.0285601030779123,Category,,,Feature,,,,,,,,,,Subject,,,
262,,,,11994,10,2.050327428372306,Category,,,Feature,,,,,,,,,,Subject,,,
263,,,,11989,15,3.054153731095189,Category,,,Feature,,,,,,,,,,Subject,,,
264,,,,11984,20,4.0272768650486634,Category,,,Feature,,,,,,,,,,Subject,,,
265,,,,11974,30,5.846483285941102,Category,,,Feature,,,,,,,,,,Subject,,,
266,,,,11964,40,5.17610453891484,Category,,,Feature,,,,,,,,,,Subject,,,
267,,,,11954,50,4.044158944922254,Category,,,Feature,,,,,,,,,,Subject,,,
268,,,,11944,60,3.0891077729202396,Category,,,Feature,,,,,,,,,,Subject,,,
269,,,,11934,70,2.7810147034466204,Category,,,Feature,,,,,,,,,,Subject,,,
270,,,,12003,1,0.023758508538082,Category,,,,Feature,,,,,,,,,Subject,,,
271,,,,11999,5,0.11416268829428808,Category,,,,Feature,,,,,,,,,Subject,,,
272,,,,11994,10,0.22684283944314035,Category,,,,Feature,,,,,,,,,Subject,,,
273,,,,11989,15,0.3381811058387644,Category,,,,Feature,,,,,,,,,Subject,,,
274,,,,11984,20,0.44943008603955226,Category,,,,Feature,,,,,,,,,Subject,,,
275,,,,11974,30,0.6671443433802988,Category,,,,Feature,,,,,,,,,Subject,,,
276,,,,11964,40,0.776586713155183,Category,,,,Feature,,,,,,,,,Subject,,,
277,,,,11954,50,0.8262110940048666,Category,,,,Feature,,,,,,,,,Subject,,,
278,,,,11944,60,0.8660208557670313,Category,,,,Feature,,,,,,,,,Subject,,,
279,,,,11934,70,0.8847421763571515,Category,,,,Feature,,,,,,,,,Subject,,,
280,,,,12003,1,0.1968551255465483,Category,,,,,Feature,,,,,,,,Subject,,,
281,,,,11999,5,0.9818687770402383,Category,,,,,Feature,,,,,,,,Subject,,,
282,,,,11994,10,1.9512210320136205,Category,,,,,Feature,,,,,,,,Subject,,,
283,,,,11989,15,2.8952705515083585,Category,,,,,Feature,,,,,,,,Subject,,,
284,,,,11984,20,3.8033064872728297,Category,,,,,Feature,,,,,,,,Subject,,,
285,,,,11974,30,5.481098505033086,Category,,,,,Feature,,,,,,,,Subject,,,
286,,,,11964,40,4.862867512010596,Category,,,,,Feature,,,,,,,,Subject,,,
287,,,,11954,50,3.9187651301067747,Category,,,,,Feature,,,,,,,,Subject,,,
288,,,,11944,60,3.223988618283565,Category,,,,,Feature,,,,,,,,Subject,,,
289,,,,11934,70,3.00427304158746,Category,,,,,Feature,,,,,,,,Subject,,,
290,,,,33610,1,0.6684997390864691,Category,,,,,,Feature,,,,,,,Subject,,,
291,,,,33606,5,3.337204653191849,Category,,,,,,Feature,,,,,,,Subject,,,
292,,,,33601,10,6.644238008002941,Category,,,,,,Feature,,,,,,,Subject,,,
293,,,,33596,15,9.698200883197192,Category,,,,,,Feature,,,,,,,Subject,,,
294,,,,33591,20,12.030181607888824,Category,,,,,,Feature,,,,,,,Subject,,,
