,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,ann,henry,mary
297,,,,4544,50,3.1382939236820007,Category,,,,,,Feature,,,,,,,Subject,,
298,,,,4534,60,1.8834917524057235,Category,,,,,,Feature,,,,,,,Subject,,
299,,,,4524,70,1.5461713044631833,Category,,,,,,Feature,,,,,,,Subject,,
300,,,,4593,1,0.06760886900682943,Category,,,,,,,Feature,,,,,,Subject,,
301,,,,4589,5,0.3291212125518673,Category,,,,,,,Feature,,,,,,Subject,,
302,,,,4584,10,0.6374627668328812,Category,,,,,,,Feature,,,,,,Subject,,
303,,,,4579,15,0.9077456855229522,Category,,,,,,,Feature,,,,,,Subject,,
304,,,,4574,20,1.135554507834907,Category,,,,,,,Feature,,,,,,Subject,,
305,,,,4564,30,1.5602942915643196,Category,,,,,,,Feature,,,,,,Subject,,
306,,,,4554,40,1.5221772004499594,Category,,,,,,,Feature,,,,,,Subject,,
307,,,,4544,50,1.513925548357391,Category,,,,,,,Feature,,,,,,Subject,,
308,,,,4534,60,1.5478402231340815,Category,,,,,,,Feature,,,,,,Subject,,
309,,,,4524,70,1.5706505055151128,Category,,,,,,,Feature,,,,,,Subject,,
310,,,,4593,1,0.36306528938258426,Category,,,,,,,,Feature,,,,,Subject,,
311,,,,4589,5,1.8106208627074456,Category,,,,,,,,Feature,,,,,Subject,,
312,,,,4584,10,3.578344199280101,Category,,,,,,,,Feature,,,,,Subject,,
